Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;SegmentSize;Mean;Error;StdDev;Median;Min;Max
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;5000000;"4,358,473.1 ns";"30,356.514 ns";"26,910.259 ns";"4,349,574.5 ns";"4,332,720.6 ns";"4,415,938.8 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;5000000;"15,666,550.3 ns";"39,575.242 ns";"35,082.421 ns";"15,657,362.8 ns";"15,633,859.0 ns";"15,755,540.1 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10000000;"792,492.1 ns";"2,596.915 ns";"2,168.542 ns";"791,897.0 ns";"790,269.0 ns";"798,236.6 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10000000;"4,299,803.7 ns";"10,522.158 ns";"8,786.478 ns";"4,300,031.4 ns";"4,288,140.1 ns";"4,322,154.6 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;10000000;"15,484,669.4 ns";"70,218.430 ns";"65,682.363 ns";"15,473,531.8 ns";"15,403,564.5 ns";"15,652,999.5 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;20000000;"475,477.6 ns";"1,426.243 ns";"1,264.328 ns";"475,331.0 ns";"473,449.8 ns";"477,464.4 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;20000000;"8,015,049.8 ns";"260,794.704 ns";"768,959.070 ns";"7,977,371.8 ns";"5,650,657.3 ns";"9,886,653.1 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;20000000;"22,361,753.8 ns";"437,402.680 ns";"409,146.738 ns";"22,361,566.0 ns";"21,631,925.8 ns";"22,947,771.4 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;40000000;"495,399.3 ns";"9,745.174 ns";"15,172.062 ns";"499,303.2 ns";"463,612.9 ns";"529,681.4 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;40000000;"6,793,953.3 ns";"131,909.651 ns";"201,439.969 ns";"6,769,663.4 ns";"6,409,486.9 ns";"7,259,528.7 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;40000000;"22,280,539.9 ns";"426,210.355 ns";"418,595.558 ns";"22,272,804.1 ns";"21,637,659.9 ns";"23,158,812.6 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;100000000;"457,707.4 ns";"6,540.423 ns";"6,117.916 ns";"458,642.3 ns";"443,878.0 ns";"468,541.1 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;100000000;"6,812,035.1 ns";"153,587.567 ns";"215,308.319 ns";"6,770,274.7 ns";"6,557,587.4 ns";"7,486,270.0 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;100000000;"22,418,274.4 ns";"551,789.348 ns";"541,930.920 ns";"22,371,530.1 ns";"21,615,053.5 ns";"23,576,899.1 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;200000000;"387,379.8 ns";"7,621.980 ns";"9,073.425 ns";"389,574.3 ns";"370,225.2 ns";"403,143.7 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;200000000;"6,810,093.4 ns";"135,505.042 ns";"230,097.845 ns";"6,758,051.7 ns";"6,336,037.7 ns";"7,349,298.1 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;200000000;"22,207,866.5 ns";"421,766.717 ns";"433,123.366 ns";"22,196,767.3 ns";"21,425,627.9 ns";"22,951,480.0 ns"
